,title,price,link
347,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display 16GB Unified Memory, 1TB SSD Storage; Space Black","1,82,990",https://amazon.in/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DLHGCDH3/ref=sr_1_65?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.I9NEG32TRrQSIhdkO5jOcVIwX-6J8oawcCrbprdGGI15hiohuAXjjm_gbmb8LfVGDlYXw4L58InYxjh_c1-nH347pcIwUHIFFTIgLBTyBAY7quzFqba62PxkTuneZs0faSUImoFlCR5HuohzMUAZuBrxQyDwz-Kkz4JEt1egHiGk94hqMtVdzXVtq8_4bFsH_OLyI9v8fPnAkUTXYZ9ScEKcg65dKtjectfigAQbT6Q.Zb2axZQbKbGYY-vfXoO55KmQZw9fYFdOJN4IxSwRIjY&dib_tag=se&keywords=laptop&qid=1739981418&sprefix=laptop%2Caps%2C345&sr=8-65
374,"Lenovo Yoga Pro 9 Intel Evo Core Ultra 9 185H Built-in AI 16""(40.6cm) 3.2K IPS 165Hz Touchscreen Laptop (32GB/1TB SSD/NVIDIA RTX 4050 6GB/Win11/MSO 21/5.0MP+IR Cam/3 Mon GamePass/Grey/2Kg), 83DN004VIN","1,82,190",https://amazon.in/Lenovo-Built-Touchscreen-GamePass-83DN004VIN/dp/B0D4TY8Q16/ref=sr_1_83?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.uuIiL249xSton8x94GYpldKN-tg8Il8dxVLNEU987kzitcWnPW8muMnrYAZjjwd7G1CVWXz8W6EM-9E_uZ2N6U5yDtLT2CtRp1zVXr2BMUgP-GaS7644SeLmrW1Ai4WSEZrfx6cZzj8sA5Vf0D7fmMT4mYIV2RZAkBbCDLpm275Ca5JbznWlsJiO0JurDTwNrIEqOtNcED6UN0PjocICSD479DYlLGACI48HWKzPnKE._vDKGM66_LGvV7NQiUW4YDs2wkcpPp6om5oXcPXxD18&dib_tag=se&keywords=laptop&qid=1739981428&sprefix=laptop%2Caps%2C345&sr=8-83
106,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Silver","1,62,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3OTQwNDU1NTg2MzUzMDk0OjE3Mzk5ODE0NzU6c3BfbXRmOjMwMDM5Mjk2MzMyOTczMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLHNB9MY%2Fref%3Dsr_1_156_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9._BN6e9_iRaON22ucbvXz1l9zEBeRtYoI1Hx-JeZpj7LwjGH5_2Hzvc7c047vD9mAIPfhsPL6JA8N0nxY1a373y386DkR5-jNWbga-y2MMIUx83huxzU3KEfaTGQerigh-ZxxA7OO7dQJlpK1OB4ywLKdxYLHnfv8I2Lux72YHpm3QYUXzZhrfrPz-r0pOymEDwYN48QySoQG7uT5c90-6ZkVosk4iSA-mMevY2iXjsQ.PV5B69YW3lGLS0nbdnaFIG4sXNued8duIB53xvzuLUY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981475%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-156-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
119,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black","1,62,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNDMzMzYzODE5NDY5MzM2OjE3Mzk5ODE0ODQ6c3BfYXRmX25leHQ6MzAwMzkyOTYzMzI3OTMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLHXVCXJ%2Fref%3Dsr_1_162_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.KAWx_RXjm_YN1Mx5lByQyAWgR29h7swkoLz0PY7oHjJoRTH8YopXyVvDp4x1kO57jIRmi5WlSetPU7lEGpZQn5Mpb8aAG23rN1qG9FlNEuF0wGee3b83rRy356GjiJsJHa6tVAsFYuLYXea45EuYCuYMpsWLlkgtZWMgYw1GiSxxYQx9vRMNCd-Kxm3tEVGiZmG_22pwhcd-jm5DgoMqBz8Dp_HqHqwitzNmg19vnuQ.fIvvD7JRRStZX9hIXGQfueXUUEbZHKQqVDVopY63JDw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981484%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-162-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
105,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver","1,54,900",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3OTQwNDU1NTg2MzUzMDk0OjE3Mzk5ODE0NzU6c3BfbXRmOjMwMDM1MDY5ODMxMjUzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX23BZMY%2Fref%3Dsr_1_155_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9._BN6e9_iRaON22ucbvXz1l9zEBeRtYoI1Hx-JeZpj7LwjGH5_2Hzvc7c047vD9mAIPfhsPL6JA8N0nxY1a373y386DkR5-jNWbga-y2MMIUx83huxzU3KEfaTGQerigh-ZxxA7OO7dQJlpK1OB4ywLKdxYLHnfv8I2Lux72YHpm3QYUXzZhrfrPz-r0pOymEDwYN48QySoQG7uT5c90-6ZkVosk4iSA-mMevY2iXjsQ.PV5B69YW3lGLS0nbdnaFIG4sXNued8duIB53xvzuLUY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981475%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-155-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
129,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight","1,54,900",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNDMzMzYzODE5NDY5MzM2OjE3Mzk5ODE0ODQ6c3BfbXRmOjMwMDM1MDY5ODMxMjMzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX21P5VQ%2Fref%3Dsr_1_171_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.KAWx_RXjm_YN1Mx5lByQyAWgR29h7swkoLz0PY7oHjJoRTH8YopXyVvDp4x1kO57jIRmi5WlSetPU7lEGpZQn5Mpb8aAG23rN1qG9FlNEuF0wGee3b83rRy356GjiJsJHa6tVAsFYuLYXea45EuYCuYMpsWLlkgtZWMgYw1GiSxxYQx9vRMNCd-Kxm3tEVGiZmG_22pwhcd-jm5DgoMqBz8Dp_HqHqwitzNmg19vnuQ.fIvvD7JRRStZX9hIXGQfueXUUEbZHKQqVDVopY63JDw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981484%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-171-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
335,"Samsung Galaxy Book3 Pro 360 Intel 13th Gen i7 EvoTM 40.62cm(16"") Touchscreen 2-in-1 3K Display, 120Hz, Thin & Light Laptop(16 GB/1 TB SSD/Windows 11/MS Office/S-Pen/Graphite/1.6Kg), NP960QFG-KA3IN","1,49,999",https://amazon.in/Samsung-40-62cm-Touchscreen-Graphite-NP960QFG-KA3IN/dp/B0BS9GT77Q/ref=sr_1_54?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.I9NEG32TRrQSIhdkO5jOcVIwX-6J8oawcCrbprdGGI15hiohuAXjjm_gbmb8LfVGDlYXw4L58InYxjh_c1-nH347pcIwUHIFFTIgLBTyBAY7quzFqba62PxkTuneZs0faSUImoFlCR5HuohzMUAZuBrxQyDwz-Kkz4JEt1egHiGk94hqMtVdzXVtq8_4bFsH_OLyI9v8fPnAkUTXYZ9ScEKcg65dKtjectfigAQbT6Q.Zb2axZQbKbGYY-vfXoO55KmQZw9fYFdOJN4IxSwRIjY&dib_tag=se&keywords=laptop&qid=1739981418&sprefix=laptop%2Caps%2C345&sr=8-54
118,"Lenovo Yoga Slim 7 Aura Edition Intel Evo Core Ultra 7 258V (32GB RAM/1TB SSD/15(38.86cm)/Copilot+ PC/Windows 11/Office Home 2024/Grey/1.53Kg), 83HM004NIN AI Laptop","1,48,190",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNDMzMzYzODE5NDY5MzM2OjE3Mzk5ODE0ODQ6c3BfYXRmX25leHQ6MzAwNDU2OTMxNDc0MDMyOjowOjo&url=%2FLenovo-38-86cm-Copilot-Windows-83HM004NIN%2Fdp%2FB0DP6RBVSK%2Fref%3Dsr_1_161_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.KAWx_RXjm_YN1Mx5lByQyAWgR29h7swkoLz0PY7oHjJoRTH8YopXyVvDp4x1kO57jIRmi5WlSetPU7lEGpZQn5Mpb8aAG23rN1qG9FlNEuF0wGee3b83rRy356GjiJsJHa6tVAsFYuLYXea45EuYCuYMpsWLlkgtZWMgYw1GiSxxYQx9vRMNCd-Kxm3tEVGiZmG_22pwhcd-jm5DgoMqBz8Dp_HqHqwitzNmg19vnuQ.fIvvD7JRRStZX9hIXGQfueXUUEbZHKQqVDVopY63JDw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981484%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
83,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight","1,44,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0OTU2MzgzODI5MjAwOTMxOjE3Mzk5ODE0NjQ6c3BfbXRmOjMwMDM1MDY5ODMxMjQzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX22LYY9%2Fref%3Dsr_1_140_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.nNeSRUCOLR_fzr7Xi2dp6XTTBfbK7YSiu_U2GDEHuDyexL5u36cKAbtgoZXPLVgQpa-hKSQ0QfUy4bYU1AmXMP5oErU9L5kctJ0DA56mrxXq4qSNPTkkEtGZ7Ke9xCRMil6Jnvv16HQc42m5cF5f4EFKuPNweqnB3xYcg7pJHFyqa8rB7-ze-vmAHjeOJl_5KTPWqTm_QBP6bDxctZbvjvEzkpLr2AG9QPJmasCxktg.L-t0pC9RjXeMQkC4uh3gon4DZF7EQ4lSmCfezG_kwP4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981464%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-140-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
132,"MSI Sword 16 HX, Intel 13th Gen. i9-13980HX, 41CM 16:10 FHD+ 144Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/Office 2021/NVIDIA GeForce RTX 4060, GDDR6 8GB /Cosmos Gray/2.3Kg),13VFKG-652IN","1,39,990",https://amazon.in/MSI-Sword-Intel-13th-i9-13980HX/dp/B0C2P6C35M/ref=sr_1_35?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.eFCUMhD-naMzRtSQBmiuOJB8G3yluTCjxCcPytXQ7Agpjlq2MQF6_49XSryID1exwn2avL63j5MY4vF5DCalYcCHO9_j29i-Hap_-GBF7MvxbbMoCrbOectN4hHGhClD9f_dyJ0hi6SIg-AtI2QuAI3dlUa1U6OSbKX1PiqKQ4WnJEK2NDt8Rs_GQToQOcS_uEeYhYdA-ticQqnq3Q8MblWkXU89Yj6p3X4ndTt8CC4.fQ39sEce-DWCnkEey1WUWpyVdqIqjSck1fElItrhl50&dib_tag=se&keywords=laptop&qid=1739981383&sprefix=laptop%2Caps%2C345&sr=8-35
320,"HP OMEN Gaming Laptop, AMD Ryzen 9 7940HS AI-Powered, 8GB RTX 4070 GPU, 16.1-inch (40.9 cm), FHD, IPS, 165Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB, B&O (Black, 2.38 kg), xf0100AX","1,39,990",https://amazon.in/HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/ref=sr_1_46?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.diilpvh_a3hsngxrfeRzX7vVEt_vARV40xZAIACo5V7G2Xkbnuq_9vw2fMaQ8hsXKdOrbcZ3RMPtxbh26p0C6dE3XExkADzCd1gDAgioioGXzgw-yFlp28EXWbl8N6artChTzFH0DFOFC1zwXsZjVJROlW_-C0fYpvcY3LrQ4YuOsL2TEvpJyA4L2NzWMegqNsd-5EzsahHp4om0c0JTJOUFj7-900lMmBcqFYpS9kg.GV3EAhqu8VxUBopa5GD9A1nkbj-kyE2Ndx0DJ3NkdmA&dib_tag=se&keywords=laptop&qid=1739981406&sprefix=laptop%2Caps%2C345&sr=8-46
322,"MSI Katana A17 AI, AMD Ryzen 9 8945HS,Built-in AI, 44CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB/Black/2.7Kg), B8VG-868IN","1,39,990",https://amazon.in/MSI-Katana-Windows-GeForce-B8VG-868IN/dp/B0CVQP7WC4/ref=sr_1_48?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.diilpvh_a3hsngxrfeRzX7vVEt_vARV40xZAIACo5V7G2Xkbnuq_9vw2fMaQ8hsXKdOrbcZ3RMPtxbh26p0C6dE3XExkADzCd1gDAgioioGXzgw-yFlp28EXWbl8N6artChTzFH0DFOFC1zwXsZjVJROlW_-C0fYpvcY3LrQ4YuOsL2TEvpJyA4L2NzWMegqNsd-5EzsahHp4om0c0JTJOUFj7-900lMmBcqFYpS9kg.GV3EAhqu8VxUBopa5GD9A1nkbj-kyE2Ndx0DJ3NkdmA&dib_tag=se&keywords=laptop&qid=1739981406&sprefix=laptop%2Caps%2C345&sr=8-48
